epoch,loss,pixel_accuracy,mIoU,mean_dice,mean_hd95
1,2.056685922237543,0.7632873987141487,0.11979275106081617,0.17290103127242734,84.16801809189826
2,1.2729256313580732,0.7945092685890469,0.16611614890315204,0.24314745807286767,27.76855694116503
3,0.9632547704073099,0.8234269360801538,0.2549778190178256,0.35573165086081004,69.82246303545247
4,0.7774728003602761,0.809925868105384,0.29432926831572054,0.41315568554091947,46.6089796173035
5,0.6136608737019392,0.8527628089579063,0.33792860909102795,0.4542674576386136,61.50570405029064
6,0.5043921281511967,0.8643927600786115,0.3703253505824285,0.49625540159111,48.33420684318254
7,0.4188110389961646,0.8640555771651017,0.38841629158784646,0.5196474990991212,61.03186594329691
8,0.36151706513303977,0.8527615109428968,0.38013045497237263,0.5135667351288996,48.553677877916016
9,0.3067989515570494,0.8618679139549988,0.37789075891346585,0.5069615024288725,60.47536395123187
10,0.27485273148004824,0.862662280329066,0.39672991834837595,0.537672547525945,56.69776986681384
11,0.2252200386272027,0.8671537132512904,0.4173903805880113,0.5559460254917692,60.390916684413035
12,0.21369301140881503,0.872321374369896,0.4264034814080898,0.5668049590929459,54.243047899826536
13,0.17350545711815357,0.8783408531356026,0.45461030853591466,0.5963509207960197,48.27142667975634
14,0.16322330485742825,0.8676242719099901,0.41916008594710313,0.5646330888406312,44.24293916989857
15,0.14174502758452526,0.8727491173450905,0.43644962927152847,0.5754022058323591,44.25072033060099
16,0.12523604198717153,0.877871272691113,0.46299490078730504,0.608477761591289,42.45853146709505
