epoch,loss,pixel_accuracy,mIoU,mean_dice,mean_hd95
1,2.1978086897960076,0.7512707505762115,0.1494649636260347,0.22026269045375774,19.106340579886247
2,1.450960030922523,0.7888926429279297,0.1767644514747689,0.25272765481200005,13.551649434374697
3,1.0795255177296126,0.8063756124246485,0.2288871849163664,0.31994920165230717,16.205656413446956
4,0.8564322533515784,0.8308175168310961,0.26794935002964365,0.36874971911335575,27.119063681292737
5,0.706353193292251,0.8510497472043488,0.32044169516056176,0.4251793619750177,11.047383072866541
6,0.592281910089346,0.8556178274548343,0.35626286279773456,0.4765256402723981,10.542614116705229
7,0.4991375712247995,0.8623184359853989,0.38533430745020153,0.4998361761314369,41.15728553094511
8,0.4139141325767224,0.8615222369123037,0.395529208789429,0.516277689567274,11.35583889127177
9,0.3739697875884863,0.8582293092459473,0.3832027681257094,0.505334273216185,9.602039538256035
10,0.36364021553443027,0.8495490011204427,0.3559842245084957,0.4791916679579711,11.936937302517052
11,0.3092994626898032,0.8601624303297593,0.4081303441824473,0.5387315915625602,18.979838084179327
12,0.26758663872113597,0.8652302325388901,0.39122573488366735,0.5168781619517673,31.57200243890005
13,0.2602793290638007,0.8660386970357556,0.42433169408627325,0.5615386487018055,19.6153277560984
