epoch,loss,pixel_accuracy,mIoU,mean_dice,mean_hd95
1,1.5763559158031757,0.7377303297065352,0.1364638933136347,0.19514586130334746,70.67748426530832
2,1.1715066914375012,0.806118696023151,0.2028002237607198,0.2906583849320028,54.280321769805894
3,0.9803988990875391,0.8273790531717928,0.26944212044985305,0.3778529432487231,71.84516233410713
4,0.8605057608622771,0.8407175118459389,0.32175157887914935,0.43366874482247525,54.78734613918524
5,0.7699461269837159,0.8527564693773522,0.3407845890933614,0.45243900801070264,48.25241197521594
6,0.7020664490186251,0.8505931110280089,0.3673390998567463,0.4951470522213355,45.320163789779734
7,0.6450842871115758,0.8628970705513108,0.39191119630726223,0.5189509816941803,46.398686253753354
8,0.5962042716833261,0.8641734896010468,0.3982387820473652,0.5279884696128163,37.189759296694554
9,0.5731320719306285,0.8689481719725413,0.43241624992005373,0.5662181089126831,44.53624139736986
10,0.5343136879114004,0.8629444575050673,0.40602508144280175,0.5440395721210056,50.55356516822124
11,0.5229775355412409,0.8621476644072865,0.44452588462534903,0.5890932748011243,47.661042466767455
12,0.4831683492431274,0.8672789434819997,0.4139902378527191,0.55675336548613,51.29621054802293
13,0.46862551455314344,0.8736721753232259,0.4412192185581191,0.5810065211612594,58.98988327145202
14,0.45184718473599506,0.8750003832906641,0.4498026885743028,0.5905413136875283,48.344582186788614
15,0.44064742498672926,0.8730478865390406,0.4671274455419915,0.6111401089084467,43.73978673559585
